,CST,PV
0,0.0,
1,0.0,
2,0.0,
3,0.0,
4,0.0,
5,0.0,
6,0.057454847,
7,0.613601522,
8,0.802542052,
9,0.781013698,
10,0.952696788,
11,0.952598046,
12,0.952645442,
13,0.952908754,
14,0.934368986,
15,0.0,
16,0.210006771,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.153771321,
31,0.688990256,
32,0.858400967,
33,0.639560092,
34,0.437135377,
35,0.754728621,
36,0.680926339,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,0.0,
48,0.0,
49,0.0,
50,0.0,
51,0.0,
52,0.0,
53,0.0,
54,0.0,
55,0.0,
56,0.0,
57,0.0,
58,0.0,
59,0.224995782,
60,0.364732597,
61,0.0,
62,0.0,
63,0.0,
64,0.0,
65,0.0,
66,0.0,
67,0.0,
68,0.0,
69,0.0,
70,0.0,
71,0.0,
72,0.0,
73,0.0,
74,0.0,
75,0.0,
76,0.0,
77,0.0,
78,0.0,
79,0.0,
80,0.0,
81,0.466398508,
82,0.775170814,
83,0.799953699,
84,0.833410066,
85,0.519790194,
86,0.653476109,
87,0.679376751,
88,0.519555847,
89,0.0,
90,0.0,
91,0.0,
92,0.0,
93,0.0,
94,0.0,
95,0.0,
96,0.0,
97,0.0,
98,0.0,
99,0.0,
100,0.0,
101,0.0,
102,0.0,
103,0.498114386,
104,0.682789269,
105,0.783777153,
106,0.84675733,
107,0.883294442,
108,0.727478507,
109,0.235536144,
110,0.359293896,
111,0.0,
112,0.0,
113,0.0,
114,0.0,
115,0.0,
116,0.0,
117,0.0,
118,0.0,
119,0.0,
120,0.0,
121,0.0,
122,0.0,
123,0.0,
124,0.0,
125,0.0,
126,0.029872697,
127,0.503722923,
128,0.719124948,
129,0.607942956,
130,0.920620173,
131,0.952648075,
132,0.952583564,
133,0.953000913,
134,0.901144333,
135,0.653478742,
136,0.0,
137,0.0,
138,0.0,
139,0.0,
140,0.0,
141,0.0,
142,0.0,
143,0.0,
144,0.0,
145,0.0,
146,0.0,
147,0.0,
148,0.0,
149,0.0,
150,0.107598058,
151,0.671033724,
152,0.845996359,
153,0.929517471,
154,0.952692838,
155,0.952591463,
156,0.952640176,
157,0.952580931,
158,0.620293585,
159,0.0,
160,0.0,
161,0.0,
162,0.0,
163,0.0,
164,0.0,
165,0.0,
166,0.0,
167,0.0,
168,0.0,
169,0.0,
170,0.0,
171,0.0,
172,0.0,
173,0.0,
174,0.0,
175,0.21377476,
176,0.537447868,
177,0.778587282,
178,0.952579614,
179,0.883098275,
180,0.952719169,
181,0.952530902,
182,0.776102937,
183,0.828288656,
184,0.0,
185,0.0,
186,0.0,
187,0.0,
188,0.0,
189,0.0,
190,0.0,
191,0.0,
192,0.0,
193,0.0,
194,0.0,
195,0.0,
196,0.0,
197,0.0,
198,0.148380016,
199,0.697471521,
200,0.869535096,
201,0.949978096,
202,0.950610044,
203,0.95081806,
204,0.951077422,
205,0.951264373,
206,0.506924791,
207,0.0,
208,0.0,
209,0.0,
210,0.0,
211,0.0,
212,0.0,
213,0.0,
214,0.0,
215,0.0,
216,0.0,
217,0.0,
218,0.0,
219,0.0,
220,0.0,
221,0.0,
222,0.155711927,
223,0.723703936,
224,0.902331868,
225,0.949880671,
226,0.923265138,
227,0.949885937,
228,0.950195328,
229,0.876848575,
230,0.532801735,
231,0.0,
232,0.0,
233,0.0,
234,0.0,
235,0.0,
236,0.0,
237,0.0,
238,0.0,
239,0.0,
240,0.0,
241,0.0,
242,0.0,
243,0.0,
244,0.0,
245,0.0,
246,0.149370068,
247,0.707915775,
248,0.887253332,
249,0.950499453,
250,0.950591612,
251,0.950802261,
252,0.951060307,
253,0.951241992,
254,0.474600663,
255,0.0,
256,0.0,
257,0.0,
258,0.0,
259,0.0,
260,0.0,
261,0.0,
262,0.0,
263,0.0,
264,0.0,
265,0.0,
266,0.0,
267,0.0,
268,0.0,
269,0.0,
270,0.128871789,
271,0.676144601,
272,0.853283507,
273,0.937614302,
274,0.951396029,
275,0.951590879,
276,0.95271522,
277,0.952624377,
278,0.57625341,
279,0.0,
280,0.0,
281,0.0,
282,0.0,
283,0.0,
284,0.0,
285,0.0,
286,0.0,
287,0.0,
288,0.0,
289,0.0,
290,0.0,
291,0.0,
292,0.0,
293,0.0,
294,0.113365766,
295,0.659293978,
296,0.837503245,
297,0.925080671,
298,0.94936063,
299,0.949372479,
300,0.949506768,
301,0.842057218,
302,0.736016385,
303,0.0,
304,0.0,
305,0.0,
306,0.0,
307,0.0,
308,0.0,
309,0.0,
310,0.0,
311,0.0,
312,0.0,
313,0.0,
314,0.0,
315,0.0,
316,0.0,
317,0.0,
318,0.0,
319,0.0,
320,0.372772815,
321,0.664206055,
322,0.653677542,
323,0.555579502,
324,0.948498285,
325,0.749081905,
326,0.646415409,
327,0.253910025,
328,0.0,
329,0.078982542,
330,0.0,
331,0.0,
332,0.0,
333,0.0,
334,0.0,
335,0.0,
336,0.0,
337,0.0,
338,0.0,
339,0.0,
340,0.0,
341,0.0,
342,0.105857963,
343,0.652138486,
344,0.833410066,
345,0.924360514,
346,0.950386229,
347,0.918274067,
348,0.65124586,
349,0.691258685,
350,0.397258158,
351,0.8438846,
352,0.285220403,
353,0.0,
354,0.0,
355,0.0,
356,0.0,
357,0.0,
358,0.0,
359,0.0,
360,0.0,
361,0.0,
362,0.0,
363,0.0,
364,0.0,
365,0.0,
366,0.0,
367,0.529527456,
368,0.823541149,
369,0.855184616,
370,0.949094686,
371,0.949152614,
372,0.706329322,
373,0.469782062,
374,0.0,
375,0.0,
376,0.0,
377,0.0,
378,0.0,
379,0.0,
380,0.0,
381,0.0,
382,0.0,
383,0.0,
384,0.0,
385,0.0,
386,0.0,
387,0.0,
388,0.0,
389,0.0,
390,0.0,
391,0.172521737,
392,0.0,
393,0.295231509,
394,0.802796147,
395,0.949411976,
396,0.53177482,
397,0.453916223,
398,0.0,
399,0.044004892,
400,0.0,
401,0.0,
402,0.0,
403,0.0,
404,0.0,
405,0.0,
406,0.0,
407,0.0,
408,0.0,
409,0.0,
410,0.0,
411,0.0,
412,0.0,
413,0.0,
414,0.106610508,
415,0.666463952,
416,0.85223026,
417,0.941575824,
418,0.95259278,
419,0.952654658,
420,0.952731018,
421,0.744444988,
422,0.944722397,
423,0.0,
424,0.159751126,
425,0.0,
426,0.0,
427,0.0,
428,0.0,
429,0.0,
430,0.0,
431,0.0,
432,0.0,
433,0.0,
434,0.0,
435,0.0,
436,0.0,
437,0.0,
438,0.054443089,
439,0.600537319,
440,0.788107312,
441,0.883792101,
442,0.94214326,
443,0.931334321,
444,0.922851739,
