,link0,link1
0,-0.0,-0.0
1,-0.0,-0.0
2,-0.0,-0.0
3,-0.0,-0.0
4,-0.0,-0.0
5,-0.0,-0.0
6,-5.74548,-5.74548
7,-61.3602,-61.3602
8,-80.2542,-80.2542
9,-78.1014,-78.1014
10,-95.2697,-95.2697
11,-95.2598,-95.2598
12,-95.2645,-95.2645
13,-95.2909,-95.2909
14,-93.4369,-93.4369
15,-0.0,-0.0
16,-21.0007,-21.0007
17,-0.0,-0.0
18,-0.0,-0.0
19,-0.0,-0.0
20,-0.0,-0.0
21,-0.0,-0.0
22,-0.0,-0.0
23,-0.0,-0.0
24,-0.0,-0.0
25,-0.0,-0.0
26,-0.0,-0.0
27,-0.0,-0.0
28,-0.0,-0.0
29,-0.0,-0.0
30,-15.3771,-15.3771
31,-68.899,-68.899
32,-85.8401,-85.8401
33,-63.956,-63.956
34,-43.7135,-43.7135
35,-75.4729,-75.4729
36,-68.0926,-68.0926
37,-0.0,-0.0
38,-0.0,-0.0
39,-0.0,-0.0
40,-0.0,-0.0
41,-0.0,-0.0
42,-0.0,-0.0
43,-0.0,-0.0
44,-0.0,-0.0
45,-0.0,-0.0
46,-0.0,-0.0
47,-0.0,-0.0
48,-0.0,-0.0
49,-0.0,-0.0
50,-0.0,-0.0
51,-0.0,-0.0
52,-0.0,-0.0
53,-0.0,-0.0
54,-0.0,-0.0
55,-0.0,-0.0
56,-0.0,-0.0
57,-0.0,-0.0
58,-0.0,-0.0
59,-22.4996,-22.4996
60,-36.4733,-36.4733
61,-0.0,-0.0
62,-0.0,-0.0
63,-0.0,-0.0
64,-0.0,-0.0
65,-0.0,-0.0
66,-0.0,-0.0
67,-0.0,-0.0
68,-0.0,-0.0
69,-0.0,-0.0
70,-0.0,-0.0
71,-0.0,-0.0
72,-0.0,-0.0
73,-0.0,-0.0
74,-0.0,-0.0
75,-0.0,-0.0
76,-0.0,-0.0
77,-0.0,-0.0
78,-0.0,-0.0
79,-0.0,-0.0
80,-0.0,-0.0
81,-46.6399,-46.6399
82,-77.5171,-77.5171
83,-79.9954,-79.9954
84,-83.341,-83.341
85,-51.979,-51.979
86,-65.3476,-65.3476
87,-67.9377,-67.9377
88,-51.9556,-51.9556
89,-0.0,-0.0
90,-0.0,-0.0
91,-0.0,-0.0
92,-0.0,-0.0
93,-0.0,-0.0
94,-0.0,-0.0
95,-0.0,-0.0
96,-0.0,-0.0
97,-0.0,-0.0
98,-0.0,-0.0
99,-0.0,-0.0
100,-0.0,-0.0
101,-0.0,-0.0
102,-0.0,-0.0
103,-49.8114,-49.8114
104,-68.2789,-68.2789
105,-78.3777,-78.3777
106,-84.6757,-84.6757
107,-88.3294,-88.3294
108,-72.7479,-72.7479
109,-23.5536,-23.5536
110,-35.9294,-35.9294
111,-0.0,-0.0
112,-0.0,-0.0
113,-0.0,-0.0
114,-0.0,-0.0
115,-0.0,-0.0
116,-0.0,-0.0
117,-0.0,-0.0
118,-0.0,-0.0
119,-0.0,-0.0
120,-0.0,-0.0
121,-0.0,-0.0
122,-0.0,-0.0
123,-0.0,-0.0
124,-0.0,-0.0
125,-0.0,-0.0
126,-2.98727,-2.98727
127,-50.3723,-50.3723
128,-71.9125,-71.9125
129,-60.7943,-60.7943
130,-92.062,-92.062
131,-95.2648,-95.2648
132,-95.2584,-95.2584
133,-95.3001,-95.3001
134,-90.1144,-90.1144
135,-65.3479,-65.3479
136,-0.0,-0.0
137,-0.0,-0.0
138,-0.0,-0.0
139,-0.0,-0.0
140,-0.0,-0.0
141,-0.0,-0.0
142,-0.0,-0.0
143,-0.0,-0.0
144,-0.0,-0.0
145,-0.0,-0.0
146,-0.0,-0.0
147,-0.0,-0.0
148,-0.0,-0.0
149,-0.0,-0.0
150,-10.7598,-10.7598
151,-67.1034,-67.1034
152,-84.5996,-84.5996
153,-92.9517,-92.9517
154,-95.2693,-95.2693
155,-95.2591,-95.2591
156,-95.264,-95.264
157,-95.2581,-95.2581
158,-62.0294,-62.0294
159,-0.0,-0.0
160,-0.0,-0.0
161,-0.0,-0.0
162,-0.0,-0.0
163,-0.0,-0.0
164,-0.0,-0.0
165,-0.0,-0.0
166,-0.0,-0.0
167,-0.0,-0.0
168,-0.0,-0.0
169,-0.0,-0.0
170,-0.0,-0.0
171,-0.0,-0.0
172,-0.0,-0.0
173,-0.0,-0.0
174,-0.0,-0.0
175,-21.3775,-21.3775
176,-53.7448,-53.7448
177,-77.8587,-77.8587
178,-95.258,-95.258
179,-88.3098,-88.3098
180,-95.2719,-95.2719
181,-95.2531,-95.2531
182,-77.6103,-77.6103
183,-82.8289,-82.8289
184,-0.0,-0.0
185,-0.0,-0.0
186,-0.0,-0.0
187,-0.0,-0.0
188,-0.0,-0.0
189,-0.0,-0.0
190,-0.0,-0.0
191,-0.0,-0.0
192,-0.0,-0.0
193,-0.0,-0.0
194,-0.0,-0.0
195,-0.0,-0.0
196,-0.0,-0.0
197,-0.0,-0.0
198,-14.838,-14.838
199,-69.7472,-69.7472
200,-86.9535,-86.9535
201,-94.9978,-94.9978
202,-95.061,-95.061
203,-95.0818,-95.0818
204,-95.1077,-95.1077
205,-95.1264,-95.1264
206,-50.6925,-50.6925
207,-0.0,-0.0
208,-0.0,-0.0
209,-0.0,-0.0
210,-0.0,-0.0
211,-0.0,-0.0
212,-0.0,-0.0
213,-0.0,-0.0
214,-0.0,-0.0
215,-0.0,-0.0
216,-0.0,-0.0
217,-0.0,-0.0
218,-0.0,-0.0
219,-0.0,-0.0
220,-0.0,-0.0
221,-0.0,-0.0
222,-15.5712,-15.5712
223,-72.3704,-72.3704
224,-90.2332,-90.2332
225,-94.9881,-94.9881
226,-92.3265,-92.3265
227,-94.9886,-94.9886
228,-95.0195,-95.0195
229,-87.6849,-87.6849
230,-53.2802,-53.2802
231,-0.0,-0.0
232,-0.0,-0.0
233,-0.0,-0.0
234,-0.0,-0.0
235,-0.0,-0.0
236,-0.0,-0.0
237,-0.0,-0.0
238,-0.0,-0.0
239,-0.0,-0.0
240,-0.0,-0.0
241,-0.0,-0.0
242,-0.0,-0.0
243,-0.0,-0.0
244,-0.0,-0.0
245,-0.0,-0.0
246,-14.937,-14.937
247,-70.7916,-70.7916
248,-88.7253,-88.7253
249,-95.0499,-95.0499
250,-95.0592,-95.0592
251,-95.0802,-95.0802
252,-95.106,-95.106
253,-95.1242,-95.1242
254,-47.4601,-47.4601
255,-0.0,-0.0
256,-0.0,-0.0
257,-0.0,-0.0
258,-0.0,-0.0
259,-0.0,-0.0
260,-0.0,-0.0
261,-0.0,-0.0
262,-0.0,-0.0
263,-0.0,-0.0
264,-0.0,-0.0
265,-0.0,-0.0
266,-0.0,-0.0
267,-0.0,-0.0
268,-0.0,-0.0
269,-0.0,-0.0
270,-12.8872,-12.8872
271,-67.6145,-67.6145
272,-85.3284,-85.3284
273,-93.7614,-93.7614
274,-95.1396,-95.1396
275,-95.1591,-95.1591
276,-95.2715,-95.2715
277,-95.2624,-95.2624
278,-57.6253,-57.6253
279,-0.0,-0.0
280,-0.0,-0.0
281,-0.0,-0.0
282,-0.0,-0.0
283,-0.0,-0.0
284,-0.0,-0.0
285,-0.0,-0.0
286,-0.0,-0.0
287,-0.0,-0.0
288,-0.0,-0.0
289,-0.0,-0.0
290,-0.0,-0.0
291,-0.0,-0.0
292,-0.0,-0.0
293,-0.0,-0.0
294,-11.3366,-11.3366
295,-65.9294,-65.9294
296,-83.7503,-83.7503
297,-92.5081,-92.5081
298,-94.9361,-94.9361
299,-94.9372,-94.9372
300,-94.9507,-94.9507
301,-84.2057,-84.2057
302,-73.6016,-73.6016
303,-0.0,-0.0
304,-0.0,-0.0
305,-0.0,-0.0
306,-0.0,-0.0
307,-0.0,-0.0
308,-0.0,-0.0
309,-0.0,-0.0
310,-0.0,-0.0
311,-0.0,-0.0
312,-0.0,-0.0
313,-0.0,-0.0
314,-0.0,-0.0
315,-0.0,-0.0
316,-0.0,-0.0
317,-0.0,-0.0
318,-0.0,-0.0
319,-0.0,-0.0
320,-37.2773,-37.2773
321,-66.4206,-66.4206
322,-65.3678,-65.3678
323,-55.558,-55.558
324,-94.8498,-94.8498
325,-74.9082,-74.9082
326,-64.6415,-64.6415
327,-25.391,-25.391
328,-0.0,-0.0
329,-7.89825,-7.89825
330,-0.0,-0.0
331,-0.0,-0.0
332,-0.0,-0.0
333,-0.0,-0.0
334,-0.0,-0.0
335,-0.0,-0.0
336,-0.0,-0.0
337,-0.0,-0.0
