Keys,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,
CST_p_nom,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,,,,,,,,,,,,
CST_p_nom_opt,60638.7,90.0463,121.912,162.922,206.792,248.524,289.325,333.965,418.595,664.291,,,,,,,,,,,,
CST_Capital_Cost,,129885.558,488171.7068,461079.0816,435218.2013,414797.2621,399889.1392,388028.4469,376999.1499,359205.7879,,,,,,,,,,,,
CST_Marginal_Cost,,1.429450576,0.26737633,0.397809887,0.528753863,0.659798278,0.79083798,0.9218928,1.052999284,1.184395856,,,,,,,,,,,,
PV Capital Cost,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
PV Marginal Cost,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
PV p_nom,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
PV p_nom_opt,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
WIND Capital Cost,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
WIND Marginal Cost,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
WIND p_nom,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
WIND p_nom_opt,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
PPA Capital Cost,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
PPA Marginal Cost,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
PPA p_nom,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
PPA p_nom_opt,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
BackUp Boiler Capital Cost,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,,,,,,,,,,,,
BackUp Boiler Marginal Cost,200,200,200,200,200,200,200,200,200,200,,,,,,,,,,,,
BackUp Boiler p_nom,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,
BackUp Boiler p_nom_opt,86.6071,86.7934,86.9111,87.0188,87.1202,87.2287,87.3413,86.6343,80.1726,0,,,1,2,3,4,5,6,7,8,9,10
CO2 Emissions Fossil Heat,200,200,200,200,200,200,200,200,200,200,,total cost,," 89,273,806.56 "," 265,853,819.53 "," 263,739,166.96 "," 260,936,558.37 "," 256,337,407.83 "," 251,274,944.28 "," 250,187,745.95 "," 281,590,607.89 "," 584,209,407.85 "
CO2 Limit,0,0,0,0,0,0,0,0,0,0,,Energy,874500.288,874499.9764,874499.7828,874500.0934,874499.9153,874499.8586,874500.1179,874500.0007,874500.0698,874500.033
CO2 Total Emissions,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6,,total emissions,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6,174900057.6
Heat_Sink_p_nom_opt,100,20.8563,34.0393,46.1067,57.4608,69.6179,82.229,94.2715,100,100,,new emissions,174900057.6,9739995.706,139920000.1,122430060.4,104940018.1,87449996.86,69960045.98,52470018.24,34980019.97,17490011.71
Heat Sink Capital Cost," 20,488.02 "," 3,346,801.87 "," 955,036.16 "," 1,413,235.37 "," 1,801,528.90 "," 2,148,460.32 "," 2,504,994.27 "," 2,861,870.71 "," 3,192,525.22 "," 3,346,801.87 ",,share of emissions,100%,6%,80%,70%,60%,50%,40%,30%,20%,10%
Heat Sink Marginal Cost,20488.01931,3346801.865,955036.1581,1413235.371,1801528.902,2148460.319,2504994.273,2861870.707,3192525.217,3346801.865,,,,,,,,,,,,
Heat Sink Efficiency,1,1,1,1,1,1,1,1,1,1,,Share Energy CST,0.944311058,0.199999801,0.299999729,0.399999839,0.499999937,0.599999791,0.699999896,0.799999902,0.899999937,#DIV/0!
TES e_nom,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,
